ID,Query
15000,"SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Russia> . ?uri <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Soviet_Union> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Astronaut>}|""SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Russia> . ?uri <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Soviet_Union> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Astronaut>}""|"
15001,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ganges> <http://dbpedia.org/ontology/sourceCountry> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ganges> <http://dbpedia.org/ontology/sourceCountry> ?uri }"""
15002,
15003,
15004,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/vicePresident> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/vicePresident> ?uri }""|"
15005,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Berlin> <http://dbpedia.org/ontology/leader> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Berlin> <http://dbpedia.org/ontology/leader> ?uri }""|"
15006,SELECT (COUNT(DISTINCT ?x) as ?c) WHERE{ <http://dbpedia.org/resource/VU_University_Amsterdam> <http://dbpedia.org/ontology/numberOfStudents> ?v1. }|
15007,
15008,
15009,
15010,
15011,"SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Bandleader> . ?uri <http://dbpedia.org/ontology/instrument> <http://dbpedia.org/resource/Trumpet> . }|""SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Bandleader> . ?uri <http://dbpedia.org/ontology/instrument> <http://dbpedia.org/resource/Trumpet> . }""|"
15012,
15013,
15014,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Orangina> <http://dbpedia.org/ontology/product> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Orangina> <http://dbpedia.org/ontology/product> ?uri }""|"
15015,
15016,
15017,
15018,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Prodigy> <http://dbpedia.org/ontology/bandMember> ?uri }|""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Prodigy> <http://dbpedia.org/ontology/bandMember> ?uri }""|"
15019,
