"15000","Give me all cosmonauts. ?","http://dbpedia.org/resource/Rusia,http://dbpedia.org/resource/Soviet_Union"
"15001","In which country does the Ganges start ?","http://dbpedia.org/resource/Ganges"
"15002","When is the movie Worst Case Scenario going to be in cinemas in the Netherlands ?",""
"15003","Which German cities have more than 250000 inhabitants ?","http://dbpedia.org/resource/Germany"
"15004","Who was John F. Kennedy's vice president ?","http://dbpedia.org/resource/John_F._Kenedy"
"15005","Who is the mayor of Berlin ?","http://dbpedia.org/resource/Berlin"
"15006","How many students does the Free University in Amsterdam have ?","http://dbpedia.org/resource/VU_University_Amsterdam"
"15007","What is the second highest mountain on Earth ?",""
"15008","Give me all professional skateboarders from Sweden. ?","http://dbpedia.org/resource/Skateboarding,http://dbpedia.org/resource/Sweden,http://dbpedia.org/resource/Sweden"
"15009","When was Alberta admitted as province ?",""
"15010","To which countries does the Himalayan mountain system extend ?",""
"15011","Give me a list of all bandleaders that play trumpet. ?","http://dbpedia.org/resource/Bandleader,http://dbpedia.org/resource/Trumpet"
"15012","Which countries have more than ten caves ?",""
"15013","What is the total amount of men and women serving in the FDNY ?",""
"15014","Who produces Orangina ?","http://dbpedia.org/resource/Orangina"
"15015","Who is the Formula 1 race driver with the most races ?",""
"15016","Give me all world heritage sites designated within the past two years. ?",""
"15017","Who is the youngest player in the Premier League ?","http://dbpedia.org/resource/Premier_League"
"15018","Give me all members of Prodigy. ?","http://dbpedia.org/resource/The_Prodigy"
"15019","What is the longest river ?",""
"15020","Does Breaking Bad have more episodes than Game of Thrones ?","http://dbpedia.org/resource/Breaking_Bad,http://dbpedia.org/resource/Game_of_Thrones"
"15021","Give me all cars that are produced in Germany. ?",""
"15022","What were the main discoveries of the Mars rover Curiosity ?",""
"15023","Give me all people that were born in Vienna and died in Berlin. ?","http://dbpedia.org/resource/Viena,http://dbpedia.org/resource/Berlin"
"15024","Is proinsulin a protein ?","http://dbpedia.org/resource/Proinsulin"
"15025","How tall is Michael Jordan ?","http://dbpedia.org/resource/Michael_Jordan"
