"QuestionID","Question","QuestionLength","TripleSize","ResourceTotal","ClassTotal","RelationTotal","_DT ","_IN ","_JJ ","_JJR ","_JJS ","_NN ","_NNS ","_NNP ","_NNPS ","_PRP ","_RB ","_RBR ","_RBS ","_UH ","_VB ","_VBD ","_VBG ","_VBN ","_VBP ","_VBZ ","_WDT ","_WP ","_WP$ ","_WRB ","BooleanAns","NumberAnswer","ListAnswer"
"15000","Give me all cosmonauts. ?","4","5","2","1","2","1","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"15001","In which country does the Ganges start ?","7","2","1","0","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","1"
"15003","Which German cities have more than 250000 inhabitants ?","8","5","1","2","2","0","1","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1"
"15004","Who was John F. Kennedy's vice president ?","7","2","1","0","1","0","0","0","0","0","2","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1"
"15005","Who is the mayor of Berlin ?","6","2","1","0","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"15006","How many students does the Free University in Amsterdam have ?","10","2","1","0","1","1","1","1","0","0","0","1","3","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1","0"
"15007","What is the second highest mountain on Earth ?","8","2","0","1","1","1","1","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"15008","Give me all professional skateboarders from Sweden. ?","7","7","3","0","4","1","1","1","0","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"15011","Give me a list of all bandleaders that play trumpet. ?","10","4","2","0","2","2","1","0","0","0","2","1","0","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1"
"15012","Which countries have more than ten caves ?","7","5","0","2","3","0","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1"
