QuestionID	Question	Label1	Label2	Dbpedia-Relation	RelationTotal	relnliodLogs	qanary_component-DiambiguationProperty-OKBQA	qanary_component-AnnotationofSpotProperty	Kcap	isiah
10000	Which comic characters are painted by Bill Finger ?	painted by		http://dbpedia.org/ontology/creator	1	1	0	1	0	0
10001	Was winston churchill the prime minister of Selwyn Lloyd ?	prime minister		http://dbpedia.org/ontology/primeMinister	1	1			1	0.5
10002	Name some leaders of the parent organisation of the Gestapo ?	parent organisation	leaders	http://dbpedia.org/ontology/parentOrganisation,http://dbpedia.org/ontology/leader	2	1	0.6666666667	0.6666666667	0	0.07692307
10003	Name the municipality of Roberto Clemente Bridge ?	municipality		http://dbpedia.org/ontology/municipality	1	1	1	1	0	1
10004	In which monarch did Li Si succeed someone ?	succeed	monarch	http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/monarch	2		0.6666666667	0	0.5	0
10005	Where was the designer of REP Parasol born ?	designer	born	http://dbpedia.org/ontology/designer,http://dbpedia.org/ontology/birthPlace	2	0.6666666667	0.6666666667	0.6666666667	0	1
10006	What tv series can be said to be related to the sarah jane adventure and dr who confidential ?	related to		http://dbpedia.org/ontology/related,http://dbpedia.org/ontology/related	2				0	0
10007	How many shows does HBO have ?	@@@		http://dbpedia.org/ontology/company	1				0	0
10008	Is Nikolai Morozov the former coach of Stanislav Morozov ?	former coach		http://dbpedia.org/ontology/formerCoach	1	1	0	0	0	0.1428571
10009	On how many different grounds were seasons chaired by Ronaldo held ?	chaired	grounds	http://dbpedia.org/ontology/chairman,http://dbpedia.org/ontology/ground	2				0	0
10010	Where was the battle fought where 2nd Foreign Infantry Regiment participated ?	battle	@@@	http://dbpedia.org/ontology/battle,http://dbpedia.org/ontology/territory	2	0.6666666667			1	0.4
10011	What is the operator of SR class 3Sub ?	operator		http://dbpedia.org/ontology/operator	1	1	1	1	0	1
10013	which politician is currently ruling over Rishkiesh ?	rulling over		http://dbpedia.org/ontology/leaderName	1		0	1	0	0
10014	Is north america one of the destinations of airtours airways ?	destinations		http://dbpedia.org/ontology/destination	1	1		0	0	0.09090909
