Questions,label1,label2,uri1,uri2,label1len,label2len,uri1Label,uri2Label
Which comic characters are painted by Bill Finger,painted by,,http://dbpedia.org/ontology/creator,,2,0,creator,
Was winston churchill the prime minister of Selwyn Lloyd,prime minister,,http://dbpedia.org/ontology/primeMinister,,2,0,primeMinister,
Name some leaders of the parent organisation of the Gestapo,parent organisation,leaders,http://dbpedia.org/ontology/parentOrganisation,http://dbpedia.org/ontology/leader,2,1,parentOrganisation,leader
Name the municipality of Roberto Clemente Bridge,municipality,,http://dbpedia.org/ontology/municipality,,1,0,municipality,
In which monarch did Li Si succeed someone,succeed,monarch,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/monarch,1,1,successor,monarch
Where was the designer of REP Parasol born,designer,born,http://dbpedia.org/ontology/designer,http://dbpedia.org/ontology/birthPlace,1,1,designer,birthPlace
What tv series can be said to be related to the sarah jane adventure and dr who confidential,related,related,http://dbpedia.org/ontology/related,http://dbpedia.org/ontology/related,1,1,related,related
How many shows does HBO have,@@@,,http://dbpedia.org/ontology/company,,1,0,company,
Is Nikolai Morozov the former coach of Stanislav Morozov,former coach,,http://dbpedia.org/ontology/formerCoach,,2,0,formerCoach,
On how many different grounds were seasons chaired by Ronaldo held,chaired,grounds,http://dbpedia.org/ontology/chairman,http://dbpedia.org/ontology/ground,1,1,chairman,ground
Where was the battle fought where 2nd Foreign Infantry Regiment participated,battle,@@@,http://dbpedia.org/ontology/battle,http://dbpedia.org/ontology/territory,1,1,battle,territory
What is the operator of SR class 3Sub,operator,,http://dbpedia.org/ontology/operator,,1,0,operator,
Did Timm Gunn guest in Sunrise (HIMYM),guest,,http://dbpedia.org/property/guests,,1,0,guests,
which politician is currently ruling over Rishikesh,politician,,http://dbpedia.org/ontology/leaderName,,1,0,leaderName,
Is north america one of the destinations of airtours airways,destinations,,http://dbpedia.org/ontology/destination,,1,0,destination,
"How many tenats have been there, of the constructions of PCL constructures",constructions,tenats,http://dbpedia.org/ontology/builder,http://dbpedia.org/ontology/tenant,1,1,builder,tenant
Was Kevin Jonas a part of Jonas brothers,part of,,http://dbpedia.org/ontology/formerBandMember,,2,0,formerBandMember,
"Which kind of conventions are held in Rosemont, Illinois",held in,kind of,http://dbpedia.org/ontology/location,http://dbpedia.org/property/genre,2,2,location,genre
How many books have been penned by Miguel de Cervantes,penned,,http://dbpedia.org/ontology/author,,1,0,author,
"What are the schools whose city is Reading, Berkshire",city,,http://dbpedia.org/ontology/city,,1,0,city,
Does the west thurrock come under Essex county,county,,http://dbpedia.org/ontology/ceremonialCounty,,1,0,ceremonialCounty,
How many people have headed organizations headquartered at Niederkirchnerstrae,headquartered,headed,http://dbpedia.org/ontology/headquarter,http://dbpedia.org/ontology/leader,1,1,headquarter,leader
