"15000","Give me all cosmonauts. ?","http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/nationality"
"15001","In which country does the Ganges start ?","http://dbpedia.org/ontology/sourceCountry"
"15002","When is the movie Worst Case Scenario going to be in cinemas in the Netherlands ?",""
"15003","Which German cities have more than 250000 inhabitants ?","http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/populationTotal"
"15004","Who was John F. Kennedy's vice president ?","http://dbpedia.org/ontology/vicePresident"
"15005","Who is the mayor of Berlin ?","http://dbpedia.org/ontology/leader"
"15006","How many students does the Free University in Amsterdam have ?","http://dbpedia.org/ontology/numberOfStudents"
"15007","What is the second highest mountain on Earth ?","http://dbpedia.org/ontology/elevation"
"15008","Give me all professional skateboarders from Sweden. ?","http://dbpedia.org/ontology/ocupation,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/country"
"15009","When was Alberta admitted as province ?",""
"15010","To which countries does the Himalayan mountain system extend ?",""
"15011","Give me a list of all bandleaders that play trumpet. ?","http://dbpedia.org/ontology/ocupation,http://dbpedia.org/ontology/instrument"
"15012","Which countries have more than ten caves ?","http://dbpedia.org/ontology/location,http://dbpedia.org/ontology/location,http://dbpedia.org/ontology/country"
"15013","What is the total amount of men and women serving in the FDNY ?",""
"15014","Who produces Orangina ?","http://dbpedia.org/ontology/product"
"15015","Who is the Formula 1 race driver with the most races ?","http://dbpedia.org/ontology/races"
"15016","Give me all world heritage sites designated within the past two years. ?",""
"15017","Who is the youngest player in the Premier League ?","http://dbpedia.org/ontology/team,http://dbpedia.org/ontology/league,http://dbpedia.org/ontology/birthDate"
"15018","Give me all members of Prodigy. ?","http://dbpedia.org/ontology/bandMember"
"15019","What is the longest river ?",""
"15020","Does Breaking Bad have more episodes than Game of Thrones ?","http://dbpedia.org/ontology/numberOfEpisodes,http://dbpedia.org/ontology/numberOfEpisodes"
"15021","Give me all cars that are produced in Germany. ?",""
"15022","What were the main discoveries of the Mars rover Curiosity ?",""
"15023","Give me all people that were born in Vienna and died in Berlin. ?","http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/deathPlace"
"15024","Is proinsulin a protein ?",""
"15025","How tall is Michael Jordan ?","http://dbpedia.org/ontology/height"
"15026","What is the capital of Canada ?","http://dbpedia.org/ontology/capital"
"15027","Who is the governor of Wyoming ?",""
"15028","Do Prince Harry and Prince William have the same parents ?",""
"15029","Who was the father of Queen Elizabeth II ?",""
"15030","Which U.S. state has been admitted latest ?",""
