"10000","Which comic characters are painted by Bill Finger ?","8","3","1,1,1","0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0","0,0,1"
"10001","Was winston churchill the prime minister of Selwyn Lloyd ?","9","3","2,0,1","1,2,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0","1,0,0"
"10002","Name some leaders of the parent organisation of the Gestapo ?","10","3","1,0,2","3,2,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0","0,0,1"
"10003","Name the municipality of Roberto Clemente Bridge ?","7","2","1,0,1","1,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0","0,0,1"
"10004","In which monarch did Li Si succeed someone ?","8","3","1,0,2","0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0","0,0,1"
"10005","Where was the designer of REP Parasol born ?","8","3","1,0,2","1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1","0,0,1"
"10006","What tv series can be said to be related to the sarah jane adventure and dr who confidential ?","18","4","2,0,2","1,0,1,0,0,6,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,1,0,0","0,0,1"
"10007","How many shows does HBO have ?","6","3","1,1,1","0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1","0,1,0"
"10008","Is Nikolai Morozov the former coach of Stanislav Morozov ?","9","3","2,0,1","1,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","1,0,0"
"10009","On how many different grounds were seasons chaired by Ronaldo held ?","11","3","1,0,2","0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1","0,0,1"
"10010","Where was the battle fought where 2nd Foreign Infantry Regiment participated ?","11","4","1,1,2","1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2","0,0,1"
"10011","What is the operator of SR class 3Sub ?","8","2","1,0,1","1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0","0,0,1"
"10012","Did Timm Gunn guest in Sunrise (HIMYM) ?","7","3","2,0,0","0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0","1,0,0"
"10013","which politician is currently ruling over Rishkiesh ?","7","2","1,0,1","0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0","0,0,1"
"10014","Is north america one of the destinations of airtours airways ?","10","3","2,0,1","1,2,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0","1,0,0"
"10015","How many tenats have been there, of the constructions of PCL constructures ?","12","3","1,0,2","1,2,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1","0,1,0"
"10016","Was Kevin Jonas a part of Jonas brothers ?","8","3","2,0,1","1,1,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0","1,0,0"
"10017","Which kind of conventions are held in Rosemont, Illinois ?","9","4","1,1,1","0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0","0,0,1"
"10018","How many books have been penned by Miguel de Cervantes ?","10","3","1,1,1","0,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1","0,1,0"
"10019","What are the schools whose city is Reading, Berkshire ?","9","2","1,0,1","1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0","0,0,1"
"10020","Does the west thurrock come under Essex county ?","8","3","2,0,1","1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0","1,0,0"
"10021","How many people have headed organizations headquartered at Niederkirchnerstrae ?","9","3","1,0,2","0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1","0,1,0"
"10022","In which television shows have Steven Moffat served as an executive producer ?","12","3","1,1,1","1,2,0,0,0,3,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0","0,0,1"
"10023","How many services does 21Vianet provide ?","6","2","1,0,0","0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1","0,1,0"
"10024","What company involved in the development of Sherlock did Arthur Levinson work for ?","13","4","2,0,2","1,3,0,0,0,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0","0,0,1"
"10025","What is the style of architecture of South Loop Printing House District ?","12","2","1,0,1","1,2,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0","0,0,1"
