"Questions","Who ","How ","In which ","What ","When ","Where ","Which "
"Which comic characters are painted by Bill Finger ?","0","0","0","0","0","0","1"
"Was winston churchill the prime minister of Selwyn Lloyd ?","0","0","0","0","0","0","0"
"Name some leaders of the parent organisation of the Gestapo ?","0","0","0","0","0","0","0"
"Name the municipality of Roberto Clemente Bridge ?","0","0","0","0","0","0","0"
"In which monarch did Li Si succeed someone ?","0","0","1","0","0","0","0"
"Where was the designer of REP Parasol born ?","0","0","0","0","0","1","0"
"What tv series can be said to be related to the sarah jane adventure and dr who confidential ?","0","0","0","1","0","0","0"
"How many shows does HBO have ?","0","1","0","0","0","0","0"
"Is Nikolai Morozov the former coach of Stanislav Morozov ?","0","0","0","0","0","0","0"
"On how many different grounds were seasons chaired by Ronaldo held ?","0","0","0","0","0","0","0"
"Where was the battle fought where 2nd Foreign Infantry Regiment participated ?","0","0","0","0","0","1","0"
"What is the operator of SR class 3Sub ?","0","0","0","1","0","0","0"
"Did Timm Gunn guest in Sunrise (HIMYM) ?","0","0","0","0","0","0","0"
"which politician is currently ruling over Rishkiesh ?","0","0","0","0","0","0","0"
"Is north america one of the destinations of airtours airways ?","0","0","0","0","0","0","0"
"How many tenats have been there, of the constructions of PCL constructures ?","0","1","0","0","0","0","0"
"Was Kevin Jonas a part of Jonas brothers ?","0","0","0","0","0","0","0"
"Which kind of conventions are held in Rosemont, Illinois ?","0","0","0","0","0","0","1"
"How many books have been penned by Miguel de Cervantes ?","0","1","0","0","0","0","0"
"What are the schools whose city is Reading, Berkshire ?","0","0","0","1","0","0","0"
"Does the west thurrock come under Essex county ?","0","0","0","0","0","0","0"
"How many people have headed organizations headquartered at Niederkirchnerstrae ?","0","1","0","0","0","0","0"
"In which television shows have Steven Moffat served as an executive producer ?","0","0","1","0","0","0","0"
"How many services does 21Vianet provide ?","0","1","0","0","0","0","0"
"What company involved in the development of Sherlock did Arthur Levinson work for ?","0","0","0","1","0","0","0"
"What is the style of architecture of South Loop Printing House District ?","0","0","0","1","0","0","0"
"Is Ombla originate in Croatia ?","0","0","0","0","0","0","0"
"Was Ganymede discovered by Galileo Galilei ?","0","0","0","0","0","0","0"
"Who is the producer of the song which is the previous work of He's a Liar ?","1","0","0","0","0","0","0"
"Who gave the voice for Allen Walker ?","1","0","0","0","0","0","0"
"Who is associated to Publius Servilius Vatia Isauricus  and Marcus Calpurnius Bibulus ?","1","0","0","0","0","0","0"
"Which country has given citizenship to both saima chowdhury and edmund john ?","0","0","0","0","0","0","1"
"Who is the person that first ascented the Cathedral Peak and Mount Hoffmann ?","1","0","0","0","0","0","0"
"What university campuses are situated in Indiana ?","0","0","0","1","0","0","0"
"Where is the swedish covenant hospital ?","0","0","0","0","0","1","0"
"Which composer of Girl from the North Country is the subsequent work of the Moondog Matinee ?","0","0","0","0","0","0","1"
"Name the members of  boards of Freedom of the City and Trinity House ?","0","0","0","0","0","0","0"
"Was Reza Amrollahi born in Iran ?","0","0","0","0","0","0","0"
"In which war did Roh Tae Woo and Lee Leffingwell fight ?","0","0","1","0","0","0","0"
"What can be cooked out of things belonging to the order Sapindales ?","0","0","0","1","0","0","0"
"How many  TV shows were made by someone who was associated with Lewis Hamilton ?","0","1","0","0","0","0","0"
"Name the alma mater of Michael hahn ?","0","0","0","0","0","0","0"
"How many party leaders are there whose parties are headquartered in Berlin ?","0","1","0","0","0","0","0"
"How many total religions are followed by people whose hometown is somewhere in India ?","0","1","0","0","0","0","0"
"Did Gwo Ka originate in Western Africa ?","0","0","0","0","0","0","0"
"Give me the total number of commander of the military conflicts whose commander is Roundhead (Wyandot). ?","0","0","0","0","0","0","0"
"Which country's leader is David Johnston ?","0","0","0","0","0","0","1"
"How many factions have fought in wars where Francois Marie Le Marchand de Lignery was involved ?","0","1","0","0","0","0","0"
"Where was Antonio Giannini born ?","0","0","0","0","0","1","0"
"Where was David Scherman trained ?","0","0","0","0","0","1","0"
"What religions do politicians in the Korean Minjoo Party follow ?","0","0","0","1","0","0","0"
"Give me the total number of employer of the engineers whose one of the employer is McDonnell Aircraft ?","0","0","0","0","0","0","0"
"What were the major actions taken by the politicians living in Gales Ferry, Connecticut ?","0","0","0","1","0","0","0"
"Where was Live in Detroit, MI recorded ?","0","0","0","0","0","1","0"
"who all have been a manager of english under twenty one football team ?","0","0","0","0","0","0","0"
"What awards have been won by the executive producer of Timmy Time ?","0","0","0","1","0","0","0"
"Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium. ?","0","0","0","0","0","0","0"
"What are some families of mammals in the animal kingdom ?","0","0","0","1","0","0","0"
"Count all the different purposes followed by the different NGOs. ?","0","0","0","0","0","0","0"
"How many things are crossed over by bridges which can carry cars ?","0","1","0","0","0","0","0"
"Did Steve Sampson manage a club of Santa Clara university ?","0","0","0","0","0","0","0"
"List all the layouts of the automobile whose one of the layout is four-wheel-drive layout ?","0","0","0","0","0","0","0"
"In which time zone is Pong Pha ?","0","0","1","0","0","0","0"
"What is the alma mater of the Angela Trusty and Charles Ayres ?","0","0","0","1","0","0","0"
"How many rivers start in an English speaking country ?","0","1","0","0","0","0","0"
"Where are Aureus and Solidus used as currency ?","0","0","0","0","0","1","0"
"Is the chestnut white bellied rat a mammal ?","0","0","0","0","0","0","0"
"Was Tim Gunn a guest on The Broken Code ?","0","0","0","0","0","0","0"
"In how many nations can I find dishes made of Shallot ?","0","0","0","0","0","0","0"
"What system is both a platform where Nord runs and also distributed The beauty inside ?","0","0","0","1","0","0","0"
"Is Tirana the largest city of Albania ?","0","0","0","0","0","0","0"
"what are some common games played at both Fr Agnel Multipurpose School and Vishwajyot High School ?","0","0","0","0","0","0","0"
"Who were all the people in office when bob hawke was the PM ?","1","0","0","0","0","0","0"
"Which sports are played at institues in Taguig ?","0","0","0","0","0","0","1"
"Raymond Johansen is the mayor of what city ?","0","0","0","0","0","0","0"
"What is the nation of the speedway league where Ikaros Smederna played ?","0","0","0","1","0","0","0"
"What are the kind of games one can play on windows ?","0","0","0","1","0","0","0"
"Count the number of sports played by schools which play hockey ?","0","0","0","0","0","0","0"
"What is the common school of Chris Marve and Neria Douglass ?","0","0","0","1","0","0","0"
"What relegious affiliation of Josiah Idowu-Fearon was canonized by john of Damasucs ?","0","0","0","1","0","0","0"
"Rivers from which countries flow into the Caspian ?","0","0","0","0","0","0","0"
"Name the military unit whose garrison is Arlington County, Virginia and command structure is United States Department of Defense ?","0","0","0","0","0","0","0"
"what are some devices made by asus ?","0","0","0","0","0","0","0"
"Count the number of people who graduated from universities affiliated with the NCAA. ?","0","0","0","0","0","0","0"
"Is Queen Latifah associated with Afrika Baby Bam ?","0","0","0","0","0","0","0"
"Count all that was built by a company whose leader is Kazuo Hirai ?","0","0","0","0","0","0","0"
"What is the largest city in the country where the San Marcos River originates ?","0","0","0","1","0","0","0"
"Give a list of all the labels that have jazz fusion artists signed up with them ?","0","0","0","0","0","0","0"
"Name the major shrine of Bogumilus ?","0","0","0","0","0","0","0"
"List the religion of people in the Cambodian human rights party ?","0","0","0","0","0","0","0"
"Count the wars in which people awarded with the Croix de guerre fought. ?","0","0","0","0","0","0","0"
"Which location of  INKAS is also the location of  T.I. Ahmadiyya Senior High School, Kumasi ?","0","0","0","0","0","0","1"
"How many battles have involved commanders of 1st Free French Division ?","0","1","0","0","0","0","0"
"Count the number of cities on the Mediterranean Sea ?","0","0","0","0","0","0","0"
"Which researchers received fellowship from Royal Society ?","0","0","0","0","0","0","1"
"what are some famous people out of the Filipinos ?","0","0","0","0","0","0","0"
"To whom was Tessa Dahl born to ?","0","0","0","0","0","0","0"
"Was Jack Ryan a nominee of US Senate ?","0","0","0","0","0","0","0"
"Count the number of religions followed by the alumini of Ananda College. ?","0","0","0","0","0","0","0"
"What is the river whose source is Cowombat  Flat and has it's mouth located in Murray Mouth ?","0","0","0","1","0","0","0"
"Who were in the youth clubs that were in season of 2015 Argentine Primera Division ?","1","0","0","0","0","0","0"
"From how many coutries do companies come, which are headquartered in the Klang Valley ?","0","0","0","0","0","0","0"
"What are the border of High Desert (Oregon) ?","0","0","0","1","0","0","0"
"What all is owned by a company one of whose division is Paramount Domestic Television ?","0","0","0","1","0","0","0"
"Which musical band produced the subsequent work of City of New Orleans ?","0","0","0","0","0","0","1"
"The authors of Zhorstoke nebo was influenced by whom ?","0","0","0","0","0","0","0"
"Name the largest city in the county where there is a Cy-Fair High School. ?","0","0","0","0","0","0","0"
"Name the common associate band of Blayse and Teddy Riley ?","0","0","0","0","0","0","0"
"Who is the performer of album which has the song ""To Where You Are"" ?","1","0","0","0","0","0","0"
"Does the merlin express have a hub at the cibano international airport ?","0","0","0","0","0","0","0"
"How many people live in Wilton, Connecticut ?","0","1","0","0","0","0","0"
"For how many different teams have Ontarians been drafted ?","0","0","0","0","0","0","0"
"How many rivers are crossed by different Box Girder bridges ?","0","1","0","0","0","0","0"
"What railway lines go through the stations maintained by Western Australian Public Transport Authority ?","0","0","0","1","0","0","0"
"What is the leader name of the settlements whose governing body is Municipal council ?","0","0","0","1","0","0","0"
"What is the major shrine of Jacques-Dsir Laval ?","0","0","0","1","0","0","0"
"Count the number of actors in Lucy Sullivan Is Getting Married. ?","0","0","0","0","0","0","0"
"To which series does the character of Londo Mollari belong ?","0","0","0","0","0","0","0"
"Count all the scientologists. ?","0","0","0","0","0","0","0"
"Rashid Behbudov State Song Theatre and Baku Puppet Theatre can be found in which country ?","0","0","0","0","0","0","0"
"How many genres of games can I find on the commodore CDTV ?","0","1","0","0","0","0","0"
"List the cast member of the movies whose producer is Mark Johnson. ?","0","0","0","0","0","0","0"
"In how many  territories were the wars fought where Fusil Gras Mile 1874 were used ?","0","0","0","0","0","0","0"
"Who are the politicians whose death place is Ontario ?","1","0","0","0","0","0","0"
"Does the US route 281 have a junction at San Antonio ?","0","0","0","0","0","0","0"
"Name the company whose one of the product is Pixar Image Computer and has one of the key person as Edwin Catmull ?","0","0","0","0","0","0","0"
"Give me a count of royalties buried in Rome ?","0","0","0","0","0","0","0"
"What is the route junction of Rhode Island Route 15 ?","0","0","0","1","0","0","0"
"Which executive producer of the ultimate merger is also an important person at Trump Productions ?","0","0","0","0","0","0","1"
"Is KOMC-FM the sister station of KOMC (AM) ?","0","0","0","0","0","0","0"
"Do the asiana airlines fly  to Jeju airport ?","0","0","0","0","0","0","0"
"Which awards are presented by Swedish Academy ?","0","0","0","0","0","0","1"
"List the awards won by the fashion designer which have been recognized by Tennessee State Museum ?","0","0","0","0","0","0","0"
"Which motion picture stories were edited by Ishir Honda ?","0","0","0","0","0","0","1"
"Which rivers originate from Dowra ?","0","0","0","0","0","0","1"
"How many TV shows have been created by Simon Fuller ?","0","1","0","0","0","0","0"
"Did Henry Ford design the Model C ?","0","0","0","0","0","0","0"
"How many people are known for Dragons' Den ?","0","1","0","0","0","0","0"
"Greater Napanee is the home town of what people ?","0","0","0","0","0","0","0"
